person,person_url,universities_category,alma_mater,awards,birth_date,birth_name,birth_place,caption,children,death_date,death_place,doctoral_advisor,doctoral_students,education,field,fields,image,image_size,imagesize,known_for,name,nationality,occupation,office,office1,office2,party,predecessor,predecessor1,predecessor2,predecessor3,president,prizes,religion,residence,signature,spouse,successor,successor1,successor2,successor3,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,work_institution,work_institutions,workplaces
Benjamin Netanyahu,https://vi.wikipedia.org/wiki/Benjamin_Netanyahu,Viện Công nghệ Massachusetts,Viện Công nghệ Massachusetts; Đại học Harvard,,21 tháng 10 năm 1949 (  tuổi),,Israel; Tel Aviv,2023; Chân dung chính thức,,,,,,,,,Benjamin Netanyahu; February 2023.jpg,,,,Benjamin Netanyahu,,,Thủ tướng Israel,,,Likud; Likud Beiteinu (2012–2014),,Yair Lapid,Ehud Olmert,Shimon Peres,,,,,Benjamin Netanyahu signature.svg,Fleus Cates (1981–1984); Miriam Weizmann (1972–1978); Sara Ben-Artzi (1991–nay),,,Naftali Bennett,Ehud Barak,,,13 tháng 6 năm 2021,6 tháng 7 năm 1999,,29 tháng 12 năm 2022,31 tháng 3 năm 2009,18 tháng 6 năm 1996,,,
Bernhard của Oranje-Nassau,https://vi.wikipedia.org/wiki/Bernhard_c%E1%BB%A7a_Oranje-Nassau,Đại học Georgetown,,,,,,,,,,,,,,,80px,,80px,,Bernhard của Oranje-Nassau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertil Ohlin,https://vi.wikipedia.org/wiki/Bertil_Ohlin,Đại học Harvard,Cử nhân Đại học Lund (1917); Thạc sĩ Đại học Harvard (1923); Tiến sĩ Đại học Stockholm (1924),,,,Klippan; hạt Skåne,,,,hạt Jämtland; Åre,,,,,,Bertil Ohlin.jpg,,,,Bertil Ohlin,Thụy Điển,,,,,Đảng Nhân dân Tự do,Gösta Bagge,,Jarl Hjalmarson,Herman Eriksson,,,,,,,Jarl Hjalmarson,,Gunnar Hedlund,Gunnar Myrdal,1958; Tháng 10,,1968; Tháng 10,1945,1948; Tháng 10,,1960; Tháng 10,1944,,,
Bill Clinton,https://vi.wikipedia.org/wiki/Bill_Clinton,Đại học Georgetown; Đại học Yale,,,,William Jefferson Blythe III,Arkansas; Hoa Kỳ; Hope,1993; Chân dung chính thức,Chelsea Clinton,,,,,<!-- RELIGION REMOVED PER PROJECT-WIDE CONSENSUS AT THE VILLAGE PUMP. https://en.wikipedia.org/wiki/Wikipedia:Village_pump_(policy)/Archive_126#RfC:_Religion_in_biographical_infoboxes -->; Đại học Georgetown (Trường Dịch vụ Đối ngoại); Đại học Oxford (Trường University College); Đại học Yale (Trường Luật),,,Bill Clinton.jpg,,250px,,Bill Clinton,,,30px; Tổng thống thứ 42 của Hoa Kỳ,,,Đảng Dân chủ,George H. W. Bush,Frank D. White,Joe Purcell,Jim Guy Tucker,,,,,Signature of Bill Clinton.svg,,George W. Bush,Jim Guy Tucker,Frank D. White,Steve Clark,20 tháng 1 năm 2001,12 tháng 12 năm 1992,19 tháng 1 năm 1981,9 tháng 1 năm 1979,20 tháng 1 năm 1993,11 tháng 1 năm 1983,9 tháng 1 năm 1979,3 tháng 1 năm 1977,,,
Binh Danh,https://vi.wikipedia.org/wiki/Binh_Danh,Đại học Stanford,,"'''Binh Danh''' (sinh ngày 9 tháng 10 năm 1977) là một nhiếp ảnh gia; ''Bank of America Achievement Award in the Field of Fine Arts'; <ref>Melissa Chiu; ===Quan niệm===; ==Tiểu sử==; Deborah S. Hutton. ''A Companion to Asian Art and Architecture''. ISBN 1444396323. Trang 282-283.</ref> theo cha mẹ di cư<ref name=""Sewer""> </ref> sang Mỹ vào năm 1979.<ref>[http://www.kqed.org/arts/programs/spark/profile.jsp?essid=7660 Binh Danh]; KQED.</ref>; Karin M. Higa; Susette S. Min (2006). ''One Way Or Another: Asian American Art Now''. Publisher Asia Society with Yale University Press. Trang 61.</ref>; Việt Nam; họa sĩ người Mỹ gốc Việt. Anh sinh trưởng tại Kiên Giang; lúc 3 tuổi <ref name=""rec"">Rebecca M. Brown; what is consciousness; what is death; what is history; {{Cquote|''It's almost my religious practice when I make my own artwork because I'm coming up with my own concept about what is life; }}",,Binh Danh,,,,,,,,,Nhiếp ảnh; hội họa,,,,,,Binh Danh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birendra của Nepal,https://vi.wikipedia.org/wiki/Birendra_c%E1%BB%A7a_Nepal,Đại học Harvard,,,,,Cung điện hoàng gia Narayanhiti; Kathmandu; Nepal,Birendra   1967,,,Cung điện hoàng gia Narayanhiti; Kathmandu; Nepal; {{Infobox person | embed = yes; | death_cause  = Ám sát (vết thương do đạn bắn)}},,,,,,Birendra Bir Bikram Shah c. 1967 (restoration).jpg,,,,Birendra Bir Bikram Shah Dev,,,,,,,Mahendra,,,,,,Hindu giáo,,,,Dipendra,,,,,,,,,,,,,,
Bob Woodward,https://vi.wikipedia.org/wiki/Bob_Woodward,Đại học Yale,,,,,Geneva; Hoa Kỳ; Illinois,Bob Woodward ký tên vào cuốn sách ''State of Denial'' sau cuộc nói chuyện tháng 3 năm 2007,hai con gái,,,,,1965; B.A; Đại học Yale,,,Bobwoodwardatgmu.jpg,,,,Bob Woodward,,nhà báo,,,,,,,,,,,,,,Elsa Walsh,,,,,,,,,,,,,,,
Brandi Rhodes,https://vi.wikipedia.org/wiki/Brandi_Rhodes,Đại học Michigan,Đại học Michigan,,,"Brandi Alexis Reed<ref name=""profightdb""> </ref>","Canton; Hoa Kỳ<ref name=""letstalk""> </ref>; Michigan",Rhodes tháng 4 năml 2016,,,,,,,,,Eden WrestleMania 32 Axxess.jpg,,,,Brandi Rhodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brett Giroir,https://vi.wikipedia.org/wiki/Brett_Giroir,Đại học Harvard,,Huân chương Bộ trưởng Quốc phòng về Dịch vụ công xuất sắc,,,Louisiana; Marrero; Mỹ,USPHS; Đô đốc Brett Giroir,,,,,,Đại học Harvard (BA); Đại học Texas Tây Nam (MD),,,ADM Brett P. Giroir; USPHS.jpg,,,,Brett Giroir,,,Thứ trưởng Y tế Hoa Kỳ thứ 16,Dược phẩm Hoa Kỳ; Quyền Ủy viên Thực phẩm,,,Howard Koh,Norman Sharpless (quyền),,,Donald Trump,,,,,,,Stephen Hahn,,,,ngày 17 tháng 12 năm 2019,,,ngày 15 tháng 2 năm 2018,ngày 6 tháng 11 năm 2019,,,,,
Brian P. Schmidt,https://vi.wikipedia.org/wiki/Brian_P._Schmidt,Đại học Harvard,Đại học Arizona (1989); Đại học Harvard (1993),Giải Nobel Vật lý (2011),24 tháng 2 năm 1967,,Hoa Kỳ; Missoula; Montana,Brian Schmidt nhận giải Shaw thiên văn học năm 2006 (cùng nhận giải với Adam Riess; Saul Perlmutter),,<!--   (death date then birth date) -->,,Robert Kirshner,,,,,Brian P Schmidt.jpg,,,,Brian P Schmidt,,,,,,,,,,,,,,,<!--(filename only)-->,,,,,,,,,,,,,,,,
Bruce Henderson,https://vi.wikipedia.org/wiki/Bruce_Henderson,Đại học Harvard,Đại học Harvard (bỏ học); Đại học Vanderbilt (BE),,,,Hoa Kỳ; Nashville; Tennessee,,Asta Werme; Bruce Alexander Henderson; Bruce Balfour Henderson; Ceacy Griffin,,Hoa Kỳ; Nashville; Tennessee,,,,,,,,,Sáng lập Boston Consulting Group,Bruce Doolin Henderson,,,,,,,,,,,,,,,,Bess Henderson; Frances,,,,,,,,,,,,,,,
Bruno Maddox,https://vi.wikipedia.org/wiki/Bruno_Maddox,Đại học Harvard,,,1969<ref name=PenguinBio> </ref>,,London; UK,Bruno Maddox năm 2013,,,,,,,,,Bruno_Maddox.jpg,,200 px,,Bruno P. Maddox,,Editor-in-chief; Journalist; Novelist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burton Richter,https://vi.wikipedia.org/wiki/Burton_Richter,Viện Công nghệ Massachusetts,Học viện Công nghệ Massachusetts,,,,Brooklyn; Hoa Kỳ; thành phố New York,Richter trong tháng 3 năm 2009,,,California; Hoa Kỳ; Stanford,,,,,,Burton Richter at Stanford 3-4-09 5.JPG,200px,,J/ψ meson,Burton Richter,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanford Linear Accelerator Center; Đại học Stanford,
Buzz Aldrin,https://vi.wikipedia.org/wiki/Buzz_Aldrin,Viện Công nghệ Massachusetts,,,,,,,,,,,,,,,Aldrin.jpg,,,,Buzz Aldrin,Hoa Kỳ,Phi công chiến đấu cơ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Kerry,https://vi.wikipedia.org/wiki/Cameron_Kerry,Đại học Harvard,Trường cao đẳng Boston; Đại học Harvard,,,,,,,,,,,,,,Cameron Kerry official portrait.jpeg,,,,Cameron Kerry,,,Bộ trưởng Thương mại Hoa Kỳ,,,Dân chủ,Rebecca Blank,,,,Barack Obama,,Do Thái giáo,,,Kathy Weinman,Penny Pritzker,,,,26 tháng 6 năm 2013,,,,1 tháng 6 năm 2013,,,,,,
Carl DeMaio,https://vi.wikipedia.org/wiki/Carl_DeMaio,Đại học Georgetown,,,,Carl David DeMaio,Dubuque; Hoa Kỳ; Iowa,,,,,,,Đại học Georgetown (BA),,,Carl DeMaio Official.jpg,,,,Carl DeMaio,,,Nghị sĩ Hội đồng Thành phố San Diego; từ quận 5,,,Cộng hòa,Brian Maienschein,,,,,,,,,Jonathan Hale (2015–nay),Mark Kersey,,,,Tháng 12 năm 2012,,,,Tháng 12 năm 2008,,,,,,
Carl Wieman,https://vi.wikipedia.org/wiki/Carl_Wieman,Viện Công nghệ Massachusetts; Đại học Stanford,Học viện Công nghệ Massachusetts; Đại học Stanford,,,,Corvallis; Oregon,Wieman (bên trái) với Eric Cornell ở khu trường Đại học Colorado,,,,,,,Vật lý học,,,,,Ngưng tụ Bose-Einstein,Carl Edwin Wieman,Hoa Kỳ,,,,,,,,,,,Giải Nobel Vật lý (2001); Huy chương Benjamin Franklin (2000); Huy chương Lorentz (1998); Huy chương Oersted (2007),,,,,,,,,,,,,,,,,,Đại học British Columbia; Đại học Colorado,
Caroline Kennedy,https://vi.wikipedia.org/wiki/Caroline_Kennedy,Đại học Columbia; Đại học Harvard,,,,,Hoa Kỳ; New York; New York City,,John Bouvier Kennedy Schlossberg; Rose Kennedy Schlossberg; Tatiana Celia Kennedy Schlossberg,,,,,,,,Caroline Kennedy US State Dept photo.jpg,,,,Caroline Bouvier Kennedy,,,Đại sứ Hoa Kỳ tại Úc,Đại sứ Hoa Kỳ tại Nhật Bản,,Dân chủ,Arthur B. Culvahouse Jr,John Roos,,,Joe Biden,,Giáo hội Công giáo Rôma,New York; New York City; Nhật Bản; Tokyo; Tòa đại sứ Hoa Kỳ tại,,(m. 1986–nay); Edwin Arthur Schlossberg,,William F. Hagerty,,,,,,,25 tháng 7 năm 2022,,,,,,
Carolyn R. Bertozzi,https://vi.wikipedia.org/wiki/Carolyn_R._Bertozzi,Đại học Stanford,,ACS Award in Pure Chemistry (2001); Giải Nobel Hóa học (2022); MacArthur Foundation Fellowship (1999); Welch Award in Chemistry (2022); Wolf Prize (2022); giải Heinrich Wieland (2012); giải Lemelson-MIT (2010),,Carolyn Ruth Bertozzi,Boston; Hoa Kỳ; Massachusetts,,,,,,,Berkeley (MS; PhD); Đại học California; Đại học Harvard (BS),,,Carolyn Bertozzi IMG 9384.jpg,,,Hóa học sinh trực giao,Carolyn Bertozzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy O'Neil,https://vi.wikipedia.org/wiki/Cathy_O%27Neil,Đại học Harvard,Đại học California tại Berkeley; Đại học Harvard,,,,,Cathy O'Neil tại Google Cambridge năm 2016,,,,Barry Mazur,,,,Nhà toán học,Cathy O'Neil at Google Cambridge.jpg,,,,Cathy O'Neil,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barnard College; David E. Shaw; MIT; Trường Cao đẳng Columbia
Chad Trujillo,https://vi.wikipedia.org/wiki/Chad_Trujillo,Viện Công nghệ Massachusetts,,,,,,,,,,,,Massachusetts Institute of Technology; University of Hawaii,,Planetary astronomy,,300px,,Discovery of Eris; Sedna and other trans-Neptunian objects,Chad Trujillo,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gemini Observatory; Northern Arizona University
Chadchart Sittipunt,https://vi.wikipedia.org/wiki/Chadchart_Sittipunt,Viện Công nghệ Massachusetts,Viện Công nghệ Massachusetts; Đại học Chulalongkorn; Đại học Illinois Urbana-Champaign,,,,Băng Cốc; Thái Lan,Chadchart; năm 2023,1 <!--For privacy reasons; consider omitting the names of living children; unless notable-->,,,,,,,,Chadchart Sittipunt October 2023 (cropped).jpg,,,,Chadchart Sittipunt,,,,,,Chính khách độc lập,Aswin Kwanmuang,Charupong Ruangsuwan,,,,,,,Chadchart Sittipunt's signature.svg,Piyada Sittipunt,,Prajin Juntong,,,,,,,,,,,,,
Charles Bailyn,https://vi.wikipedia.org/wiki/Charles_Bailyn,Đại học Harvard; Đại học Yale,Đại học Yale,Giải Bruno Rossi (2009); Giải Robert J. Trumpler (1990),,,Cambridge; MA,,,,,,Eric P. Rubenstein; Jerry Orosz,,,thiên văn học; vật lý học,<!--(filename only)-->,,,,Charles Bailyn,Mỹ,,,,,,,,,,,,,CT; New Haven,<!--(filename only)-->,,,,,,,,,,,,,,,,Đại học Yale
Charles Brenton Huggins,https://vi.wikipedia.org/wiki/Charles_Brenton_Huggins,Đại học Harvard,Đại học Acadia; Đại học Harvard,,22.9.1901,,Canada; Halifax; Nova Scotia,Charles Brenton Huggins,,12.1.1997,Chicago; llinois,,,,Sinh học,,Replace_this_image_male.svg,,,Ung thư tuyến tiền liệt; hormon,Charles Brenton Huggins,Canada,,,,,,,,,,,Giải Nobel Sinh lý; Y khoa 1966,,,,,,,,,,,,,,,,,,Đại học Chicago,
Charles Ives,https://vi.wikipedia.org/wiki/Charles_Ives,Đại học Yale,,,,Charles Edward Ives,,Hình ảnh năm 1913,,,New York,,,,,,CharlesEdwardIves1913.jpg,,,,Charles Ives,,Nhà soạn nhạc; đại lý bảo hiểm,,,,,,,,,,,United Church of Christ,,,,,,,,,,,,,,,,,,
Charles J. Pedersen,https://vi.wikipedia.org/wiki/Charles_J._Pedersen,Viện Công nghệ Massachusetts,Học viện Công nghệ Massachusetts; Đại học Dayton,,3 tháng 10 năm 1904,,Busan; Đế quốc Đại Hàn,,,26 tháng 10 năm 1989 (85 tuổi),Hoa Kỳ; New Jersey; Salem,,,,Hóa hữu cơ,,,,,Ete vòng,Charles J. Pedersen,Hoa Kỳ,,,,,,,,,,,Giải Nobel Hóa học năm 1987 chung với Donald J. Cram; Jean-Marie Lehn,,,,,,,,,,,,,,,,,,,
Charles Sanders Peirce,https://vi.wikipedia.org/wiki/Charles_Sanders_Peirce,Đại học Harvard,Đại học Harvard,,,,Cambridge; Hoa Kỳ; Massachusetts,,,,Hoa Kỳ; Milford; Pennsylvania,,,,,,Charles Sanders Peirce.jpg,,,,Charles Sanders Peirce,,,,,,,,,,,,,,,Signature of Charles Sanders Peirce (1839–1914).png,,,,,,,,,,,,,,,,
Charles Yanofsky,https://vi.wikipedia.org/wiki/Charles_Yanofsky,Đại học Yale,,,,,New York,,,,,,,,Di truyền học,,Replace this image male.svg <!-- only free-content images are allowed for depicting living people - see WP:NONFREE -->,,,,Charles Yanofsky,Mỹ,,,,,,,,,,,Huy chương Khoa học quốc gia (2003); giải Louisa Gross Horwitz (1976),,,,,,,,,,,,,,,,,Đại học Stanford,,
Charlton Heston,https://vi.wikipedia.org/wiki/Charlton_Heston,Đại học Northwestern,,,,,,Heston năm 1981,,,,,,,,,CharltonHeston1981 2.jpg,,,,,,,,,,,,,,,,,,,,Lydia Clarke (1944-2008),,,,,,,,,,,,,,,
Chris Kolb,https://vi.wikipedia.org/wiki/Chris_Kolb,Đại học Michigan,,,,,Ann Arbor; Michigan,,,,,,,,,,,,,,Chris Kolb,,,,,,Democratic,,,,,,,,,,,,,,,31 tháng 12 năm 2006,,,,1 tháng 1 năm 2001,,,,,,
"Chris Smith, Nam tước Smith xứ Finsbury",https://vi.wikipedia.org/wiki/Chris_Smith%2C_Nam_t%C6%B0%E1%BB%9Bc_Smith_x%E1%BB%A9_Finsbury,Đại học Harvard,Cambridge (BA; Pembroke College; PhD); Đại học Harvard (Kennedy Scholar),,,,Barnet; Vương quốc Anh,Smith vào 2018,,,,,,,,,Official portrait of Lord Smith of Finsbury crop 2.jpg,,,,Huân tước Smith xứ Finsbury,,,Bộ trưởng Bộ Văn hóa; Thể thao; Truyền thông,Bộ trưởng Bóng tối Bộ Y tế,Bộ trưởng Bóng tối về An sinh Xã hội,Lao động; Độc lập  <ref name=parliamentbio> </ref>,Virginia Bottomley,Harriet Harman,Donald Dewar,Mo Mowlam,,,,,,,Tessa Jowell,Stephen Dorrell,Harriet Harman,Jack Cunningham,8 tháng 6 năm 2001,2 tháng 5 năm 1997,1 tháng 7 năm 1996,19 tháng 10 năm 1995,2 tháng 5 năm 1997,1 tháng 7 năm 1996,19 tháng 10 năm 1995,20 tháng 10 năm 1994,,,
Chris Ward (chính khách Mỹ),https://vi.wikipedia.org/wiki/Chris_Ward_%28ch%C3%ADnh_kh%C3%A1ch_M%E1%BB%B9%29,Đại học Johns Hopkins,Đại học Harvard (MPP/MUP)<ref name=background> </ref>; Đại học Johns Hopkins (BA),,,,,,,,,,,,,,,,,,Chris Ward,,,,Nghị sĩ Hội đồng Thành phố San Diego; cho Khu vực Ba,,Dân chủ,Todd Gloria,Todd Gloria,,,,,,California; San Diego,,,,Stephen Whitburn,,,,7 tháng 12 năm 2020,,,7 tháng 12 năm 2020,12 tháng 12 năm 2016,,,,,
Christophe Beck,https://vi.wikipedia.org/wiki/Christophe_Beck,Đại học Yale,,,1968/1969<ref name=VarietyGreenPhase> </ref>,Jean-Christophe Beck,Canada; Montreal; Quebec,Beck năm 2012,,,,,,,,,Master class with Christophe Beck (by Canadian File Centre).jpg,,,,Christophe Beck,,Soạn nhạc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher A. Sims,https://vi.wikipedia.org/wiki/Christopher_A._Sims,Đại học Harvard,PhD)</small>; UC Berkeley<ref> </ref>; Đại học Harvard <small>(A.B,Giải Nobel Kinh tế (2011),,,,,,,,,,,Chuỗi thời gian; Kinh tế học vĩ mô; toán kinh tế,,Nobel Prize 2011-Press Conference KVA-DSC 7720.jpg,200px,,,Christopher A. Sims,Mỹ,,,,,,,,,,,,,,<!-- file name only -->,,,,,,,,,,,,,,,,
Christopher W. Grady,https://vi.wikipedia.org/wiki/Christopher_W._Grady,Đại học Georgetown,,Huân chương Công trạng Quốc phòng; Huân chương Dịch vụ Xuất sắc Quốc phòng; Huân chương Dịch vụ Xuất sắc của Hải quân,,,Hoa Kỳ; Portsmouth; Virginia,Ảnh Đô đốc Christopher W. Grandy năm 2015,,,,,,,,,Christopher W. Grady.jpg,,,,Christopher W. Grady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrystia Freeland,https://vi.wikipedia.org/wiki/Chrystia_Freeland,Đại học Harvard,,Rhodes Scholarship (1993),,Christina Alexandra Freeland,Alberta; Canada; Peace River,Freeland in 2017,,,,,,Oxford (MSt); St Antony's College; Đại học Harvard (BA),,,Chrystia Freeland in Ukraine - 2017 (cropped).jpg,,,,Chrystia Freeland,,,Bộ trưởng tài chánh Canada,Bộ trưởng ngoại giao Canada,Bộ trưởng thương mại quốc tế,Tự do,Bill Morneau,Stéphane Dion,Ed Fast,Đơn vị bầu cử thiết lập,,,,Canada; Ontario; Toronto,,Graham Bowley,,François-Philippe Champagne,François-Philippe Champagne,,,20 tháng 11 năm 2019,10 tháng 1 năm 2017,,18 tháng 8 năm 2020,10 tháng 1 năm 2017,4 tháng 11 năm 2015,19 tháng 10 năm 2015,,,
Clara López Obregón,https://vi.wikipedia.org/wiki/Clara_L%C3%B3pez_Obreg%C3%B3n,Đại học Harvard,* Harvard University; * University of Los Andes; * University of Salamanca; {{Plainlist|; }},,,,Bogotá; Colombia; D.C,Lopez năm 2011,,<!--   -->,,,,,,,Clara-lopez.jpg,,,,Clara Eugenia López Obregón,Colombian,,Bộ trưởng Lao động Colombia,,Diễn xuất Mayor of Bogotá,Alternative Democratic Pole,Luis Eduardo Garzón,,Samuel Moreno Rojas,César Augusto López Botero,,,Roman Catholic,,,* Carlos Arturo Romero Jiménez; {{Plainlist|; }},,,Gustavo Petro Urrego,Piedad Amparo Zúñiga Quintero,ngày 5 tháng 5 năm 2017,,,,,,,,,,
Cleve Moler,https://vi.wikipedia.org/wiki/Cleve_Moler,Đại học Stanford,Học viện kỹ thuật California; Đại học Stanford,,1939,,,,,,,George Forsythe,Charles F. Van Loan; Jack Dongarra; Stanley Eisenstat,,,Khoa học máy tính; Toán học,,,,MATLAB,Cleve Barry Moler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Michigan; Đại học New Mexico; Đại học University
Clinton D. Burdick,https://vi.wikipedia.org/wiki/Clinton_D._Burdick,Viện Công nghệ Massachusetts,,,,,Brooklyn; Hoa Kỳ; Thành phố New York,,,,,,,,,,Clinton Burdick (356th FG).jpg,,,,Clinton DeWitt Burdick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton Hart Merriam,https://vi.wikipedia.org/wiki/Clinton_Hart_Merriam,Đại học Columbia; Đại học Yale,,,,,New York City,Picture of Clinton Hart Merriam; by Frances Benjamin Johnston,,,Berkeley; California,,,,Nhân chủng học; Điểu cầm học; Động vật học,,Picture of Clinton Hart Merriam.jpg,,,Life zone concept,Clinton Hart Merriam,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bộ Nông nghiệp Hoa Kỳ; National Geographic Society,,
Cole Porter,https://vi.wikipedia.org/wiki/Cole_Porter,Đại học Harvard; Đại học Yale,* Đại học Harvard; * Đại học Yale,,9 tháng 6 năm 1891,,Hoa Kỳ; Indiana; Peru,,,,California; Hoa Kỳ; Santa Monica,,,,Nhà soạn nhạc,,Cole Porter 1934.jpg,220px,,,Cole Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhà hát Broadway,
Conan O'Brien,https://vi.wikipedia.org/wiki/Conan_O%27Brien,Đại học Harvard,Harvard University,,,Conan Christopher O'Brien,Brookline; Massachusetts; Mỹ,O'Brien vào năm 2024,,,,,,,,,2024-03-09_SXSW_Conan_Nick-Kroll_Office-Space_events_07123_(cropped).jpg,,,,Conan O'Brien,Mỹ,,,,,,,,,,,,,California; New York City and Burbank,Conan O'Brien Signature.svg,,,,,,,,,,,,,,,,
Craig Hickman,https://vi.wikipedia.org/wiki/Craig_Hickman,Đại học Harvard,Đại học Harvard,,,,Madison; Wisconsin,,,,,,,,,,,,,,Craig Hickman,,,,,,Dân chủ,Patrick Flood,,,,,,,Maine; Winthrop,,,,,,,,,,,Tháng 12 năm 2012,,,,,,
Craig Mello,https://vi.wikipedia.org/wiki/Craig_Mello,Đại học Harvard,Đại học Brown; Đại học Harvard,,,,Connecticut; Hoa Kỳ; New Haven,,,,,,,,Sinh vật học,,Craig Mello 01.JPG,,,Can thiệp ARN,Craig Cameron Mello,American,,,,,,,,,,,Giải Massry; Giải Nobel Sinh lý học; Giải Sinh học phân tử của Viện hàn lâm Khoa học quốc gia Hoa Kỳ; Giải Wiley<small> (2003)</small>; Giải quốc tế Quỹ Gairdner<small> (2005)</small>; Y khoa,,Hoa Kỳ,,,,,,,,,,,,,,,,Đại học Y khoa Massachusetts,
Curtis T. McMullen,https://vi.wikipedia.org/wiki/Curtis_T._McMullen,Đại học Harvard,Williams College; Đại học Harvard,Giải Salem (1991); Huy chương Fields (1998),,,Berkeley; California,,,,,Dennis Sullivan,Maryam Mirzakhani,,,Toán học,Curtis T. McMullen.jpg,,,Hinh học hyperbolic; Lý thuyết Teichmüller; Động lực phức,Curtis Tracy McMullen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkeley; Harvard; MIT; Princeton; Viện nghiên cấp cao Princeton; Viện nghiên cứu Khoa học Toán học,,
Cyrus Vance,https://vi.wikipedia.org/wiki/Cyrus_Vance,Đại học Yale,,,27 tháng 3 năm 1917,,Clarksburg; West Virginia,,,12 tháng 1 năm 2002 (tuổi 84),New York City,,,,,,CyrusVanceSoS.jpg,,220px,,Cyrus Vance,,,Ngoại trưởng Hoa Kỳ thứ 57,,Bộ trưởng Lục quân Hoa Kỳ thứ 7,Dân Chủ,Henry Kissinger,,Elvis Jacob Stahr; Jr,,Jimmy Carter,,,,,Grace Sloane,Edmund Muskie,,Stephen Ailes,,28 tháng 4 năm 1980,,21 tháng 1 năm 1964,,20 tháng 1 năm 1977,,5 tháng 7 năm 1962,,,,
Dana Delany,https://vi.wikipedia.org/wiki/Dana_Delany,Đại học Wesleyan,,,,,,Dana Delany (năm 2010),,,,,,,,,Dana_Delany_2010.jpg,,,,Dana Delany,,diễn viên; nhà sản xuất,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Rodrik,https://vi.wikipedia.org/wiki/Dani_Rodrik,Đại học Harvard,Harvard University (AB); MPA); Princeton University (PhD,Leontief Prize for Advancing the Frontiers of Economic Thought (2002),,,Istanbul; Thổ Nhĩ Kỳ,Dani Rodrik,,,,,,,kinh tế chính trị; kinh tế quốc tế; phát triển kinh tế,,Dani Rodrik AB 02.jpg,250px,,,Dani Rodrik,Thổ Nhĩ Kỳ,,,,,,,,,,,,,,<!-- file name only -->,,,,,,,,,,,,,,,,
